draw_seq,date,year,month,day,prize_1,prize_2,prize_3,special_1,special_2,special_3,special_4,special_5,special_6,special_7,special_8,special_9,special_10,consol_1,consol_2,consol_3,consol_4,consol_5,consol_6,consol_7,consol_8,consol_9,consol_10
537,1993-03-04,1993,3,4,1381,12,2411,3703,4077,1932,3105,1523,4482,3338,5598,69,5627,,,,,,,,,,
538,1993-03-07,1993,3,7,9443,899,1010,7988,9939,5079,3208,1861,6741,7326,3126,4973,1002,,,,,,,,,,
539,1993-03-10,1993,3,10,6326,7367,4778,7945,480,4474,8193,374,2668,3927,9915,4525,9411,,,,,,,,,,
540,1993-03-11,1993,3,11,4087,5471,7403,7387,2379,8180,8296,4314,4326,4235,642,7115,2744,,,,,,,,,,
541,1993-03-14,1993,3,14,475,1261,6157,3841,8479,6192,4288,6364,5763,3629,3105,5674,3592,,,,,,,,,,
542,1993-03-17,1993,3,17,3420,3507,6738,5586,9323,2608,4994,3711,7579,750,1690,4687,8485,,,,,,,,,,
543,1993-03-18,1993,3,18,2256,7606,3623,2595,1157,1998,3933,685,5931,5376,7624,6256,9488,,,,,,,,,,
544,1993-03-21,1993,3,21,1518,1000,3067,7018,4033,7179,377,8357,6463,5020,8101,4367,2736,,,,,,,,,,
545,1993-03-24,1993,3,24,8845,5229,1619,5612,8394,781,8660,9133,1956,3979,7695,2677,967,,,,,,,,,,
546,1993-03-25,1993,3,25,6756,5592,1994,9994,547,8953,7079,2444,7053,2721,7132,6058,2901,,,,,,,,,,
547,1993-03-28,1993,3,28,5857,3015,2676,9579,5504,7009,3892,8005,1921,2245,3481,9666,1958,,,,,,,,,,
548,1993-03-31,1993,3,31,7687,2713,5892,3792,1007,5002,8541,8254,9153,4264,6619,2357,7764,,,,,,,,,,
549,1993-04-01,1993,4,1,4310,5539,2030,5161,3542,2329,7926,155,8770,3231,6457,7229,5499,,,,,,,,,,
550,1993-04-04,1993,4,4,6554,7524,4177,9617,2720,784,9676,1541,4970,2295,4201,8541,6343,,,,,,,,,,
551,1993-04-07,1993,4,7,5892,3636,5735,4897,7184,5985,6622,6751,5966,7544,9180,9965,4839,,,,,,,,,,
552,1993-04-08,1993,4,8,1690,5618,7727,1225,2003,9654,487,2391,176,8625,2830,5273,4651,,,,,,,,,,
